Location,Measure,Initial_Match,Num_Matches_Found,+-250_Text,Weights_Matches,Weight Values,Weight Result
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,1. Restrict NONE permits?*1.0,growth management,2,"[""adopted in order to assist staff in implementing this tsm chapter and tsm programs. the city establishes this tsm chapter: 1.to promote maximum efficiency in the existing transportation system and to further the transportation goals of the measure c growth management program contra costa's congestion management program the bay area clean air plan and the west county action plan by: a.promoting and encouraging the use of transit ridesharing bicycling walking flexible work hours and telecommuting "", ' 2.to reflect an ongoing commitment to expand tsm efforts beyond employer based trip reduction programs in order to achieve congestion management and air quality goals  and 3.to comply with applicable state and federal laws as well as with measure c growth management program require pertaining to tsm. b.the goal of this tsm chapter is to ensure the continuation of a proactive tsm program effort aimed at reducing vehicle trips vehicle emissions and traffic congestion in the most efficient and cos']","[['maximum', 'growth management'], ['growth management']]","[[[2.0, 3.0], [3.0]]]","[0, 0]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[[2.0, 3.0], [3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,1. Restrict NONE permits?*1.0,growth rate,0,[],[],"[[[2.0, 3.0], [3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[[2.0, 3.0], [3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,2,"[""adopted in order to assist staff in implementing this tsm chapter and tsm programs. the city establishes this tsm chapter: 1.to promote maximum efficiency in the existing transportation system and to further the transportation goals of the measure c growth management program contra costa's congestion management program the bay area clean air plan and the west county action plan by: a.promoting and encouraging the use of transit ridesharing bicycling walking flexible work hours and telecommuting "", ' 2.to reflect an ongoing commitment to expand tsm efforts beyond employer based trip reduction programs in order to achieve congestion management and air quality goals  and 3.to comply with applicable state and federal laws as well as with measure c growth management program require pertaining to tsm. b.the goal of this tsm chapter is to ensure the continuation of a proactive tsm program effort aimed at reducing vehicle trips vehicle emissions and traffic congestion in the most efficient and cos']","[['maximum', 'growth management'], ['growth management']]","[[[2.0, 3.0], [3.0]]]","[0, 0]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[[2.0, 3.0], [3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,2. Restrict number of NONE authorized for construction?*1.0,growth rate,0,[],[],"[[[2.0, 3.0], [3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,2. Restrict number of NONE authorized for construction?*1.0,development approvals,0,[],[],"[[[2.0, 3.0], [3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,3. Restrict number of NONE?*1.0,growth management,2,"[""adopted in order to assist staff in implementing this tsm chapter and tsm programs. the city establishes this tsm chapter: 1.to promote maximum efficiency in the existing transportation system and to further the transportation goals of the measure c growth management program contra costa's congestion management program the bay area clean air plan and the west county action plan by: a.promoting and encouraging the use of transit ridesharing bicycling walking flexible work hours and telecommuting "", ' 2.to reflect an ongoing commitment to expand tsm efforts beyond employer based trip reduction programs in order to achieve congestion management and air quality goals  and 3.to comply with applicable state and federal laws as well as with measure c growth management program require pertaining to tsm. b.the goal of this tsm chapter is to ensure the continuation of a proactive tsm program effort aimed at reducing vehicle trips vehicle emissions and traffic congestion in the most efficient and cos']","[['maximum', 'growth management'], ['growth management']]","[[[2.0, 3.0], [3.0]]]","[0, 0]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,3. Restrict number of NONE?*1.0,growth control,0,[],[],"[[[2.0, 3.0], [3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,3. Restrict number of NONE?*1.0,growth rate,0,[],[],"[[[2.0, 3.0], [3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,3. Restrict number of NONE?*1.0,development approvals,0,[],[],"[[[2.0, 3.0], [3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,4. Restrict number of NONE units?*1.0,growth management,2,"[""adopted in order to assist staff in implementing this tsm chapter and tsm programs. the city establishes this tsm chapter: 1.to promote maximum efficiency in the existing transportation system and to further the transportation goals of the measure c growth management program contra costa's congestion management program the bay area clean air plan and the west county action plan by: a.promoting and encouraging the use of transit ridesharing bicycling walking flexible work hours and telecommuting "", ' 2.to reflect an ongoing commitment to expand tsm efforts beyond employer based trip reduction programs in order to achieve congestion management and air quality goals  and 3.to comply with applicable state and federal laws as well as with measure c growth management program require pertaining to tsm. b.the goal of this tsm chapter is to ensure the continuation of a proactive tsm program effort aimed at reducing vehicle trips vehicle emissions and traffic congestion in the most efficient and cos']","[['maximum', 'growth management'], ['growth management']]","[[[2.0, 3.0], [3.0]]]","[0, 0]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,4. Restrict number of NONE units?*1.0,growth control,0,[],[],"[[[2.0, 3.0], [3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,4. Restrict number of NONE units?*1.0,growth rate,0,[],[],"[[[2.0, 3.0], [3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,4. Restrict number of NONE units?*1.0,development approvals,0,[],[],"[[[2.0, 3.0], [3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_Pinole.txt,4. Restrict number of NONE units?*1.0,minimum additional lot area,0,[],[],"[[[2.0, 3.0], [3.0]], [], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/50/CA_SanDiego.txt,1. Restrict NONE permits?*1.0,growth management,0,[],[],[[]],[]
