Location,Measure,Initial_Match,Num_Matches_Found,+-250_Text,Weights_Matches,Weight Values,Weight Result
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Hercules.txt,3. Restrict number of NONE?*1.0,growth management,2,"['ectives are adopted in order to assist staff in implementing this tsm programs. the city establishes this tsm ordinance: (a) to promote maximum efficiency in the existing transportation system and to further the transportation goals of the measure c growth management program contra costa-s congestion management program the bay area clean air plan and the west county action plan by: (1) promoting and encouraging the use of transit ridesharing bicycling walking flexible work hours and telecommutin', ' to reflect an ongoing commitment to expand tsm efforts beyond employer based trip reduction programs in order to achieve congestion management and air quality goals  and (c) to comply with applicable state and federal laws as well as with measure c growth management program require pertaining to tsm. ( (part) 1998) goal. the goal of this to ensure the continuation of a proactive tsm program effort aimed at reducing vehicle trips vehicle emissions and traffic congestion in the most efficient and']","[['maximum', 'growth management'], ['growth management']]","[[[2.0, 3.0], [3.0]]]","[0, 0]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Hercules.txt,3. Restrict number of NONE?*1.0,growth control,0,[],[],"[[[2.0, 3.0], [3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Hercules.txt,3. Restrict number of NONE?*1.0,growth rate,0,[],[],"[[[2.0, 3.0], [3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Hercules.txt,3. Restrict number of NONE?*1.0,development approvals,0,[],[],"[[[2.0, 3.0], [3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Hercules.txt,4. Restrict number of NONE units?*1.0,growth management,2,"['ectives are adopted in order to assist staff in implementing this tsm programs. the city establishes this tsm ordinance: (a) to promote maximum efficiency in the existing transportation system and to further the transportation goals of the measure c growth management program contra costa-s congestion management program the bay area clean air plan and the west county action plan by: (1) promoting and encouraging the use of transit ridesharing bicycling walking flexible work hours and telecommutin', ' to reflect an ongoing commitment to expand tsm efforts beyond employer based trip reduction programs in order to achieve congestion management and air quality goals  and (c) to comply with applicable state and federal laws as well as with measure c growth management program require pertaining to tsm. ( (part) 1998) goal. the goal of this to ensure the continuation of a proactive tsm program effort aimed at reducing vehicle trips vehicle emissions and traffic congestion in the most efficient and']","[['maximum', 'growth management'], ['growth management']]","[[[2.0, 3.0], [3.0]]]","[0, 0]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Hercules.txt,4. Restrict number of NONE units?*1.0,growth control,0,[],[],"[[[2.0, 3.0], [3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Hercules.txt,4. Restrict number of NONE units?*1.0,growth rate,0,[],[],"[[[2.0, 3.0], [3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Hercules.txt,4. Restrict number of NONE units?*1.0,development approvals,0,[],[],"[[[2.0, 3.0], [3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Hercules.txt,4. Restrict number of NONE units?*1.0,minimum additional lot area,0,[],[],"[[[2.0, 3.0], [3.0]], [], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,1. Restrict NONE permits?*1.0,growth management,2,"['indicated. ( 1978)  use. no pedestrian shall cross a roadway other than by a crosswalk in the central traffic district or in any business district. ( 1978) traffic improvement fee  purpose. it is intended to implement the goals and objectives of the growth management element and the circulation element of the general plan and to mitigate the traffic impacts caused by new development within the city construction of certain traffic improvements. as a development traffic mitigation measure future d', 'or actions with estimates of costs that will (1) result in a level of service improvement of the overall circulation system to offset impacts which will remain unimproved and (2) may be require to show improvements in air quality as specified in the growth management element of la habra-s general plan 2020. 4. feasible identified improvements cannot be provide based on available information indicating that project size location and/or impacts when compared to the cost of necessary improvements c']","[['growth management'], ['growth management']]","[[[3.0], [3.0]]]","[0, 0]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[[3.0], [3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,1. Restrict NONE permits?*1.0,growth rate,0,[],[],"[[[3.0], [3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[[3.0], [3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,2,"['indicated. ( 1978)  use. no pedestrian shall cross a roadway other than by a crosswalk in the central traffic district or in any business district. ( 1978) traffic improvement fee  purpose. it is intended to implement the goals and objectives of the growth management element and the circulation element of the general plan and to mitigate the traffic impacts caused by new development within the city construction of certain traffic improvements. as a development traffic mitigation measure future d', 'or actions with estimates of costs that will (1) result in a level of service improvement of the overall circulation system to offset impacts which will remain unimproved and (2) may be require to show improvements in air quality as specified in the growth management element of la habra-s general plan 2020. 4. feasible identified improvements cannot be provide based on available information indicating that project size location and/or impacts when compared to the cost of necessary improvements c']","[['growth management', 'construction'], ['growth management']]","[[[3.0, 1.0], [3.0]]]","[0, 0]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[[3.0, 1.0], [3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,2. Restrict number of NONE authorized for construction?*1.0,growth rate,0,[],[],"[[[3.0, 1.0], [3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,2. Restrict number of NONE authorized for construction?*1.0,development approvals,0,[],[],"[[[3.0, 1.0], [3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,3. Restrict number of NONE?*1.0,growth management,2,"['indicated. ( 1978)  use. no pedestrian shall cross a roadway other than by a crosswalk in the central traffic district or in any business district. ( 1978) traffic improvement fee  purpose. it is intended to implement the goals and objectives of the growth management element and the circulation element of the general plan and to mitigate the traffic impacts caused by new development within the city construction of certain traffic improvements. as a development traffic mitigation measure future d', 'or actions with estimates of costs that will (1) result in a level of service improvement of the overall circulation system to offset impacts which will remain unimproved and (2) may be require to show improvements in air quality as specified in the growth management element of la habra-s general plan 2020. 4. feasible identified improvements cannot be provide based on available information indicating that project size location and/or impacts when compared to the cost of necessary improvements c']","[['growth management'], ['growth management']]","[[[3.0], [3.0]]]","[0, 0]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,3. Restrict number of NONE?*1.0,growth control,0,[],[],"[[[3.0], [3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,3. Restrict number of NONE?*1.0,growth rate,0,[],[],"[[[3.0], [3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,3. Restrict number of NONE?*1.0,development approvals,0,[],[],"[[[3.0], [3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,4. Restrict number of NONE units?*1.0,growth management,2,"['indicated. ( 1978)  use. no pedestrian shall cross a roadway other than by a crosswalk in the central traffic district or in any business district. ( 1978) traffic improvement fee  purpose. it is intended to implement the goals and objectives of the growth management element and the circulation element of the general plan and to mitigate the traffic impacts caused by new development within the city construction of certain traffic improvements. as a development traffic mitigation measure future d', 'or actions with estimates of costs that will (1) result in a level of service improvement of the overall circulation system to offset impacts which will remain unimproved and (2) may be require to show improvements in air quality as specified in the growth management element of la habra-s general plan 2020. 4. feasible identified improvements cannot be provide based on available information indicating that project size location and/or impacts when compared to the cost of necessary improvements c']","[['growth management'], ['growth management']]","[[[3.0], [3.0]]]","[0, 0]"
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,4. Restrict number of NONE units?*1.0,growth control,0,[],[],"[[[3.0], [3.0]], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,4. Restrict number of NONE units?*1.0,growth rate,0,[],[],"[[[3.0], [3.0]], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,4. Restrict number of NONE units?*1.0,development approvals,0,[],[],"[[[3.0], [3.0]], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LaHabra.txt,4. Restrict number of NONE units?*1.0,minimum additional lot area,0,[],[],"[[[3.0], [3.0]], [], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,1. Restrict NONE permits?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,1. Restrict NONE permits?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,2. Restrict number of NONE authorized for construction?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,2. Restrict number of NONE authorized for construction?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,3. Restrict number of NONE?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,3. Restrict number of NONE?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,3. Restrict number of NONE?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,3. Restrict number of NONE?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,4. Restrict number of NONE units?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,4. Restrict number of NONE units?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,4. Restrict number of NONE units?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,4. Restrict number of NONE units?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_LiveOak.txt,4. Restrict number of NONE units?*1.0,minimum additional lot area,0,[],[],"[[], [], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,1. Restrict NONE permits?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,1. Restrict NONE permits?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,2. Restrict number of NONE authorized for construction?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,2. Restrict number of NONE authorized for construction?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,3. Restrict number of NONE?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,3. Restrict number of NONE?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,3. Restrict number of NONE?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,3. Restrict number of NONE?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,4. Restrict number of NONE units?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,4. Restrict number of NONE units?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,4. Restrict number of NONE units?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,4. Restrict number of NONE units?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Paradise.txt,4. Restrict number of NONE units?*1.0,minimum additional lot area,0,[],[],"[[], [], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Tustin.txt,1. Restrict NONE permits?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Tustin.txt,1. Restrict NONE permits?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Tustin.txt,1. Restrict NONE permits?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Tustin.txt,1. Restrict NONE permits?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Tustin.txt,2. Restrict number of NONE authorized for construction?*1.0,growth management,0,[],[],[[]],[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Tustin.txt,2. Restrict number of NONE authorized for construction?*1.0,growth control,0,[],[],"[[], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Tustin.txt,2. Restrict number of NONE authorized for construction?*1.0,growth rate,0,[],[],"[[], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Tustin.txt,2. Restrict number of NONE authorized for construction?*1.0,development approvals,0,[],[],"[[], [], [], []]",[]
/restricted/projectnb/trucks/William/Mleczko_and_Desmond/nzlud/municipal_codes_all/32/CA_Tustin.txt,3. Restrict number of NONE?*1.0,growth management,0,[],[],[[]],[]
